7 10
Officer Barbrady 39 1 4
4 22 25
0 5 23
John Rambo 30 1 10
5 23
0 1 2 3 4 6 7 8 9 10
Leroy Gibbs 60 1 5
5
23
Ed Green 40 1 7
0 1 13 26
28 22
Janette Moira 25 0 2
0 5
15 13 20 26
Jesus Christ 2016 4 0
0 1 2 3 4 5 6 7 8 9 13 14 15 17
-1
Anthony Picone 19 3 10
5 6 9 10
15 18 20
Great Cthulhu 5253993 4 22 25 10 1
Maggie Simpson 3 0 5 23 0 0
Regis Philbin 83 1 5 23 3 0
Kobe Bryant 36 1 5 23 9 1
Moth Ra 8 0 17 26 8 1
Term Inator 20 4 5 27 10 1
Tara Smith 19 0 20 21 10 1
Ash Ketchum 10 0 16 23 3 0
Bob Barker 100 1 6 25 9 1
Frosty Snowman 2000 4 21 26 1 0
